地址,户型,面积,朝向,装修,楼层,购买时间,总价,单价,关注度,发布时间,链接
世界名园D区,2室2厅,97.08,南 北,简装,中楼层(共9层),2016年,125.0,12876,8, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125039549.html
田村山南路18号院,2室1厅,71.31,南 北,精装,低楼层(共6层),1999年,416.0,58337,41, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123931333.html
金地格林6,3室2厅,158.6,南 北,精装,中楼层(共5层),板楼,530.0,33418,6, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123909355.html
黑山东街,3室1厅,55.91,东 南 北,精装,中楼层(共6层),板楼,150.0,26829,36, 5个月以前发布,https://bj.lianjia.com/ershoufang/101124167802.html
顺源里,2室1厅,49.02,东南,简装,中楼层(共12层),1984年,355.0,72420,20, 4个月以前发布,https://bj.lianjia.com/ershoufang/101123030057.html
翠成馨园E区,2室1厅,93.32,东南 北,简装,28层,2009年,339.0,36327,8, 4个月以前发布,https://bj.lianjia.com/ershoufang/101123949272.html
京艺天朗雅园,2室1厅,89.3,南 北,精装,中楼层(共6层),板楼,355.0,39754,8, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125997831.html
汇景苑二区,2室1厅,86.88,南,简装,低楼层(共29层),2016年,386.0,44430,18, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124677472.html
林海园,2室1厅,85.32,南 北,简装,底层(共6层),板楼,155.0,18167,32, 4个月以前发布,https://bj.lianjia.com/ershoufang/101124385445.html
首邑溪谷,3室1厅,59.81,南 北,精装,高楼层(共16层),2012年,327.0,54674,6, 29天以前发布,https://bj.lianjia.com/ershoufang/101123957152.html
10AM新坐标,1室1厅,46.06,南,简装,26层,2005年,229.0,49718,6, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125307021.html
芳怡园,1室1厅,54.68,东 西,简装,10层,板楼,406.0,74251,8, 20天以前发布,https://bj.lianjia.com/ershoufang/101120723882.html
青荷里南山园,2室1厅,82.67,南,精装,中楼层(共29层),2015年,310.0,37499,22, 4个月以前发布,https://bj.lianjia.com/ershoufang/101118348938.html
铭科苑,2室1厅,66.3,东 西,精装,6层,板楼,385.0,58070,6, 16天以前发布,https://bj.lianjia.com/ershoufang/101126013064.html
八宝山南路29号院,1室1厅,59.08,南 北,精装,中楼层(共6层),1998年,215.0,36392,1, 4个月以前发布,https://bj.lianjia.com/ershoufang/101123949100.html
地震局宿舍,1室1厅,46.66,南,简装,高楼层(共6层),1994年,179.0,38363,45, 4个月以前发布,https://bj.lianjia.com/ershoufang/101121784853.html
石佛营西里小区,2室1厅,75.8,南 北,简装,15层,板楼,345.0,45515,19, 6天以前发布,https://bj.lianjia.com/ershoufang/101125110685.html
芳群园二区,2室1厅,58.65,南 北,简装,顶层(共5层),板楼,310.0,52856,11, 9个月以前发布,https://bj.lianjia.com/ershoufang/101123371950.html
北京邮电大学家属院,2室1厅,50.1,南,精装,5层,板楼,369.0,73653,54, 5个月以前发布,https://bj.lianjia.com/ershoufang/101122338120.html
恒大名都,1室1厅,60.25,西,简装,中楼层(共29层),2017年,307.0,50955,10, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126218217.html
山水蓝维,3室2厅,152.85,南 西 北,精装,中楼层(共6层),板楼,1030.0,67387,39, 3个月以前发布,https://bj.lianjia.com/ershoufang/101126060189.html
花家地西里二区,3室1厅,98.22,南 北,精装,6层,板楼,588.0,59866,19, 5个月以前发布,https://bj.lianjia.com/ershoufang/101126105884.html
新居里,2室1厅,68.1,南 北,简装,底层(共6层),板楼,186.0,27313,10, 24天以前发布,https://bj.lianjia.com/ershoufang/101123782440.html
北大地四里,2室1厅,52.0,南 北,简装,中楼层(共5层),板楼,228.0,43847,51, 8个月以前发布,https://bj.lianjia.com/ershoufang/101125967313.html
大有北里,4室2厅,125.8,南 北,精装,顶层(共6层),板楼,1450.0,115263,21, 8个月以前发布,https://bj.lianjia.com/ershoufang/101122237051.html
鲁能7号院溪园,2室1厅,85.91,南,精装,低楼层(共14层),板楼,229.0,26656,6, 8天以前发布,https://bj.lianjia.com/ershoufang/101124575880.html
安华里社区,1室1厅,42.83,南,简装,顶层(共6层),板楼,228.0,53234,39, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126037800.html
松榆里,1室1厅,53.85,南 北,简装,顶层(共7层),1991年,215.0,39926,3, 14天以前发布,https://bj.lianjia.com/ershoufang/101125589460.html
兴隆家园,2室1厅,90.04,西南,简装,24层,塔楼,475.0,52755,24, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125171112.html
双龙南里,2室1厅,64.93,东南,精装,低楼层(共18层),塔楼,299.0,46050,31, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124833494.html
首创禧瑞墅,4室6厅,252.51,南 北,精装,上叠(共3层),板楼,750.0,29702,22, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123050052.html
忠实里,2室1厅,59.42,西北,简装,高楼层(共16层),塔楼,530.0,89196,17, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125879517.html
天通苑北二区,2室1厅,113.72,南 北,简装,高楼层(共17层),2004年,389.0,34207,29, 6个月以前发布,https://bj.lianjia.com/ershoufang/101124433747.html
中国铁建原香漫谷二区,3室1厅,92.83,南 北 西,精装,中楼层(共20层),2015年,170.0,18314,8, 6个月以前发布,https://bj.lianjia.com/ershoufang/101126110127.html
冠雅苑,2室2厅,74.22,南 北,简装,低楼层(共6层),板楼,205.0,27621,10, 27天以前发布,https://bj.lianjia.com/ershoufang/101123966245.html
板桥南街7号院,1室1厅,56.06,南 北,简装,中楼层(共15层),2015年,96.0,17125,91, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125722465.html
三家店新建路,2室1厅,65.85,南 北,简装,底层(共6层),板楼,119.0,18072,15, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125370305.html
新兴家园,2室1厅,90.31,南 北,精装,10层,板楼,215.0,23807,7, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125335955.html
东辛房,2室1厅,64.22,南 北,简装,顶层(共2层),板楼,128.0,19932,1, 15天以前发布,https://bj.lianjia.com/ershoufang/101121197938.html
海户西里31号院,2室1厅,52.57,南 北,精装,中楼层(共6层),板楼,249.0,47366,37, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125022003.html
王皮胡同,1室0厅,16.6,南,精装,底层(共1层),平房,230.0,138555,7, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125578787.html
水碓子东路,2室1厅,55.55,南,简装,高楼层(共6层),板楼,269.0,48425,9, 15天以前发布,https://bj.lianjia.com/ershoufang/101123891388.html
翰林庭院,2室2厅,110.94,北 南,简装,中楼层(共15层),2008年,430.0,38760,4, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125447925.html
恒大名都,1室1厅,60.25,西,简装,中楼层(共29层),2017年,307.0,50955,10, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125110685.html
山水蓝维,3室2厅,152.85,南 西 北,精装,中楼层(共6层),板楼,1030.0,67387,39, 3个月以前发布,https://bj.lianjia.com/ershoufang/101126105884.html
曙光里,1室1厅,44.29,东南,简装,低楼层(共18层),1992年,236.0,53286,18, 15天以前发布,https://bj.lianjia.com/ershoufang/101121079918.html
金星园,2室1厅,98.66,西南 西,简装,高楼层(共21层),塔楼,1030.0,104399,11, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123957152.html
大有北里,4室2厅,125.8,南 北,精装,顶层(共6层),板楼,1450.0,115263,21, 8个月以前发布,https://bj.lianjia.com/ershoufang/101122254163.html
八宝山南路29号院,1室1厅,59.08,南 北,精装,中楼层(共6层),1998年,215.0,36392,1, 4个月以前发布,https://bj.lianjia.com/ershoufang/101126214107.html
义宾南区,2室1厅,62.47,东 西,精装,高楼层(共6层),1988年,153.0,24492,17, 4个月以前发布,https://bj.lianjia.com/ershoufang/101123949100.html
铭科苑,2室1厅,66.3,东 西,精装,6层,板楼,385.0,58070,6, 16天以前发布,https://bj.lianjia.com/ershoufang/101125307021.html
西便门内大街79号院,2室1厅,52.59,东南,精装,底层(共4层),板楼,466.0,88611,10, 8个月以前发布,https://bj.lianjia.com/ershoufang/101124884836.html
松榆里,1室1厅,53.85,南 北,简装,顶层(共7层),1991年,215.0,39926,3, 14天以前发布,https://bj.lianjia.com/ershoufang/101124401494.html
甜水园东里,1室1厅,41.06,南 北,简装,高楼层(共6层),板楼,222.0,54068,10, 8天以前发布,https://bj.lianjia.com/ershoufang/101123512784.html
鲁能7号院溪园,2室1厅,85.91,南,精装,低楼层(共14层),板楼,229.0,26656,6, 8天以前发布,https://bj.lianjia.com/ershoufang/101123015669.html
地震局宿舍,1室1厅,46.66,南,简装,高楼层(共6层),1994年,179.0,38363,45, 4个月以前发布,https://bj.lianjia.com/ershoufang/101124498896.html
倒座庙,1室1厅,45.89,南 北,精装,中楼层(共6层),板楼,449.0,97843,4, 20天以前发布,https://bj.lianjia.com/ershoufang/101125967313.html
云景里,3室1厅,110.35,南 北,简装,高楼层(共6层),1995年,289.0,26190,12, 1个月以前发布,https://bj.lianjia.com/ershoufang/101126275549.html
凯盛家园,1室1厅,59.18,南 北,简装,中楼层(共10层),板塔结合,275.0,46469,8, 28天以前发布,https://bj.lianjia.com/ershoufang/101125870194.html
白家庄东里,3室1厅,80.31,南 北,简装,高楼层(共15层),板楼,477.0,59395,79, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125541141.html
泰晤士印象,3室1厅,102.59,南 北,精装,中楼层(共14层),板塔结合,185.0,18033,6, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125612731.html
世纪新景,3室1厅,184.08,南 北,简装,中楼层(共18层),板楼,1730.0,93981,21, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126012274.html
福城国际公寓,2室2厅,107.32,南 北,简装,高楼层(共15层),2008年,160.0,14909,1, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124233206.html
红莲南里,2室1厅,54.05,南 北,简装,顶层(共6层),板楼,388.0,71786,74, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123632142.html
逸翠园,3室2厅,153.25,南 北,精装,中楼层(共9层),2006年,1275.0,83198,17, 19天以前发布,https://bj.lianjia.com/ershoufang/101122572552.html
地坛北里,2室1厅,83.51,南 北,简装,低楼层(共14层),板塔结合,850.0,101785,14, 24天以前发布,https://bj.lianjia.com/ershoufang/101120129017.html
崇文门东大街,2室1厅,60.69,南 北,精装,中楼层(共14层),板楼,519.0,85517,49, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125428490.html
古城南路,2室1厅,41.08,南,简装,中楼层(共5层),1975年,168.0,40896,11, 13天以前发布,https://bj.lianjia.com/ershoufang/101123195969.html
润泽公馆,2室2厅,107.34,南,精装,中楼层(共24层),2013年,850.0,79188,60, 4个月以前发布,https://bj.lianjia.com/ershoufang/101124903266.html
科育小区,2室1厅,46.8,南 北,简装,中楼层(共5层),2008年,596.0,127351,50, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125202073.html
南庭新苑南区,2室1厅,58.86,南,简装,顶层(共15层),2010年,241.0,40945,13, 7个月以前发布,https://bj.lianjia.com/ershoufang/101123026836.html
望都家园,2室2厅,123.48,南 北,精装,7层,板楼,319.0,25835,16, 4个月以前发布,https://bj.lianjia.com/ershoufang/101126086815.html
赵公口小区,2室1厅,57.42,南,简装,中楼层(共6层),板楼,258.0,44933,47, 一年前发布,https://bj.lianjia.com/ershoufang/101125952627.html
管庄西里,2室1厅,64.95,南 北,精装,中楼层(共6层),板楼,315.0,48499,11, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125596388.html
金汉绿港三区,3室2厅,95.12,南 北,简装,高楼层(共18层),2009年,318.0,33432,35, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125232814.html
国美第一城3号院,2室2厅,79.52,东北,精装,27层,2007年,395.0,49674,50, 2个月以前发布,https://bj.lianjia.com/ershoufang/101122199380.html
珠光逸景二期,2室1厅,74.38,南 北,简装,底层(共6层),2013年,228.0,30654,6, 26天以前发布,https://bj.lianjia.com/ershoufang/101122528087.html
北京机床研究所家属楼,2室1厅,56.94,南 北,其他,顶层(共5层),1980年,59.0,10362,6, 7个月以前发布,https://bj.lianjia.com/ershoufang/101123502639.html
世纪东方城北区,1室1厅,72.95,南,精装,中楼层(共11层),板楼,385.0,52776,43, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125953147.html
新华街一里,3室1厅,68.72,南 北,简装,低楼层(共6层),板楼,299.0,43510,87, 7个月以前发布,https://bj.lianjia.com/ershoufang/101125737681.html
冠城大通澜石,3室1厅,120.47,南 北,精装,中楼层(共26层),2012年,1398.0,116046,17, 3个月以前发布,https://bj.lianjia.com/ershoufang/101122868527.html
怡然世家,1室1厅,51.86,南,简装,28层,2013年,175.0,33745,3, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123525762.html
滨河东里南区,2室1厅,54.98,东 南,简装,中楼层(共6层),板楼,168.0,30557,3, 16天以前发布,https://bj.lianjia.com/ershoufang/101122384159.html
非常生活,1室0厅,41.75,北,简装,23层,2004年,236.0,56527,3, 24天以前发布,https://bj.lianjia.com/ershoufang/101125299577.html
芳园南里,2室1厅,53.97,南 北,简装,底层(共6层),1986年,259.0,47990,23, 2个月以前发布,https://bj.lianjia.com/ershoufang/101118368869.html
长阳半岛2号院,2室1厅,87.65,南 北,精装,低楼层(共28层),2012年,295.0,33657,14, 1个月以前发布,https://bj.lianjia.com/ershoufang/101120515255.html
康泽佳苑北区,2室1厅,78.29,南,简装,高楼层(共30层),2015年,229.0,29251,26, 4个月以前发布,https://bj.lianjia.com/ershoufang/101123989989.html
加州水郡三期,1室1厅,58.66,南,精装,中楼层(共15层),2009年,139.0,23696,27, 6个月以前发布,https://bj.lianjia.com/ershoufang/101123797756.html
北太平路16号院,3室2厅,132.72,南 北,简装,低楼层(共11层),板楼,1239.0,93355,35, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124994033.html
东柳西里,1室1厅,35.63,南,简装,5层,板楼,135.0,37890,26, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123892301.html
富力丹麦小镇D区,2室2厅,99.3,南,精装,8层,板楼,230.0,23163,22, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123085193.html
左安浦园,1室0厅,39.01,北,精装,高楼层(共18层),2004年,325.0,83312,40, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125277765.html
先锋公寓,3室1厅,134.65,西 东北,简装,中楼层(共15层),2003年,273.0,20275,25, 6个月以前发布,https://bj.lianjia.com/ershoufang/101124901409.html
都会华庭,2室1厅,94.02,西南,简装,低楼层(共30层),2001年,498.0,52968,25, 4个月以前发布,https://bj.lianjia.com/ershoufang/101122827115.html
华严北里小区,1室1厅,44.93,南,简装,顶层(共6层),板楼,248.0,55197,32, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125295730.html
天通西苑二区,3室1厅,154.63,南 北,简装,低楼层(共32层),塔楼,350.0,22635,85, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125737681.html
远洋天地三期,1室1厅,80.81,东,精装,低楼层(共24层),2004年,456.0,56429,14, 2个月以前发布,https://bj.lianjia.com/ershoufang/101121620329.html
通惠家园,2室1厅,85.01,东南,精装,22层,塔楼,470.0,55288,41, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123525762.html
靛厂锦园,2室1厅,86.67,南 北,精装,低楼层(共9层),板楼,399.0,46037,44, 6个月以前发布,https://bj.lianjia.com/ershoufang/101124331167.html
银枫家园,1室1厅,95.91,东南,简装,中楼层(共26层),2003年,405.0,42228,28, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125636925.html
天朗园,3室1厅,163.96,东 南 北,简装,中楼层(共31层),2005年,840.0,51233,5, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125736794.html
天伦锦城,1室2厅,57.91,南 北,精装,低楼层(共10层),2006年,225.0,38854,21, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125648218.html
长阳半岛2号院,2室1厅,87.65,南 北,精装,低楼层(共28层),2012年,295.0,33657,14, 1个月以前发布,https://bj.lianjia.com/ershoufang/101123978926.html
大方居,2室2厅,89.25,西,精装,高楼层(共22层),板塔结合,265.0,29692,40, 7个月以前发布,https://bj.lianjia.com/ershoufang/101122808783.html
右外东庄,2室1厅,74.1,南,简装,16层,塔楼,368.0,49663,19, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125683470.html
城建上河湾北区,3室1厅,82.89,南 北,精装,中楼层(共14层),板塔结合,152.0,18338,2, 1个月以前发布,https://bj.lianjia.com/ershoufang/101122809222.html
三不老胡同,1室0厅,13.79,东,简装,底层(共1层),暂无数据,238.0,172589,8, 19天以前发布,https://bj.lianjia.com/ershoufang/101122199380.html
芳群公寓,3室1厅,148.01,南,简装,低楼层(共31层),2000年,698.0,47159,36, 7个月以前发布,https://bj.lianjia.com/ershoufang/101121819088.html
冠城大通澜石,3室1厅,120.47,南 北,精装,中楼层(共26层),2012年,1398.0,116046,17, 3个月以前发布,https://bj.lianjia.com/ershoufang/101124234493.html
北京机床研究所家属楼,2室1厅,56.94,南 北,其他,顶层(共5层),1980年,59.0,10362,6, 7个月以前发布,https://bj.lianjia.com/ershoufang/101124605200.html
泰河园一里一区,1室1厅,62.72,南 北,简装,中楼层(共11层),板楼,300.0,47832,1, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124263303.html
长馨园,2室1厅,71.71,南 北,简装,中楼层(共15层),2013年,199.0,27751,23, 9个月以前发布,https://bj.lianjia.com/ershoufang/101122528087.html
安慧里三区,4室2厅,155.65,南 北,精装,低楼层(共18层),1990年,920.0,59107,46, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126073196.html
飘HOME,1室1厅,59.89,西,简装,低楼层(共25层),2004年,288.0,48089,18, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123502639.html
国美第一城3号院,2室2厅,79.52,东北,精装,27层,2007年,395.0,49674,50, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123914242.html
太阳公元北区,4室2厅,219.87,南 北,精装,中楼层(共22层),2011年,3120.0,141903,19, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125939764.html
万科城市花园,3室2厅,108.3,南 北,简装,底层(共5层),板楼,430.0,39705,20, 1个月以前发布,https://bj.lianjia.com/ershoufang/101123291105.html
世纪东方城北区,1室1厅,72.95,南,精装,中楼层(共11层),板楼,385.0,52776,43, 3个月以前发布,https://bj.lianjia.com/ershoufang/101124974891.html
天通苑北三区,4室2厅,168.37,南 北,简装,高楼层(共7层),板楼,428.0,25421,11, 15天以前发布,https://bj.lianjia.com/ershoufang/101126089510.html
隆盛园,2室1厅,82.74,南 北,简装,顶层(共6层),板塔结合,123.0,14866,29, 一年前发布,https://bj.lianjia.com/ershoufang/101122563716.html
阳光上东,3室1厅,189.69,南 北 东,精装,底层(共9层),2008年,1368.0,72118,92, 7个月以前发布,https://bj.lianjia.com/ershoufang/101124956436.html
海特花园西区,2室2厅,92.85,南 北,精装,中楼层(共7层),1995年,355.0,38234,14, 1个月以前发布,https://bj.lianjia.com/ershoufang/101126069480.html
南平里,2室1厅,62.21,南 北,精装,高楼层(共6层),板楼,180.0,28935,17, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124457341.html
中塔园,2室1厅,56.86,东 西,简装,顶层(共6层),板楼,403.0,70876,57, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125086431.html
阳光花园,1室1厅,54.54,西南,精装,16层,2010年,420.0,77008,15, 16天以前发布,https://bj.lianjia.com/ershoufang/101125314080.html
来北家园,1室1厅,54.1,南,简装,中楼层(共16层),2021年,248.0,45842,4, 11天以前发布,https://bj.lianjia.com/ershoufang/101124840141.html
世纪龙祥嘉园,2室1厅,92.07,南 北,精装,高楼层(共15层),板楼,510.0,55393,52, 3个月以前发布,https://bj.lianjia.com/ershoufang/101121819088.html
南湖东园二区,1室1厅,58.71,南 北,简装,顶层(共6层),板楼,285.0,48544,30, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125102756.html
天月园,3室2厅,158.63,南 北,精装,高楼层(共18层),板楼,1378.0,86869,12, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126086815.html
中海枫涟山庄,3室2厅,122.18,南 北,简装,中楼层(共6层),板楼,1120.0,91669,48, 10个月以前发布,https://bj.lianjia.com/ershoufang/101123841925.html
农光南路,3室1厅,85.04,南 北,简装,中楼层(共14层),板塔结合,388.0,45626,53, 1个月以前发布,https://bj.lianjia.com/ershoufang/101120871829.html
阳光邑上,2室1厅,85.62,南 北,简装,顶层(共6层),2011年,298.0,34805,3, 13天以前发布,https://bj.lianjia.com/ershoufang/101125154475.html
公园1872,2室1厅,121.95,南,精装,中楼层(共32层),2010年,1080.0,88561,29, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125611247.html
怡然世家,1室1厅,51.86,南,简装,28层,2013年,175.0,33745,3, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123502639.html
国美第一城3号院,2室2厅,79.52,东北,精装,27层,2007年,395.0,49674,50, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123291105.html
永翌公馆,1室1厅,71.06,西,精装,高楼层(共25层),2011年,460.0,64735,14, 5个月以前发布,https://bj.lianjia.com/ershoufang/101122809222.html
管庄西里,2室1厅,64.95,南 北,精装,中楼层(共6层),板楼,315.0,48499,11, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124263303.html
芳群公寓,3室1厅,148.01,南,简装,低楼层(共31层),2000年,698.0,47159,36, 7个月以前发布,https://bj.lianjia.com/ershoufang/101124605200.html
海淀路小区,2室1厅,43.9,东,精装,5层,板楼,380.0,86561,37, 3个月以前发布,https://bj.lianjia.com/ershoufang/101124171299.html
世纪东方城北区,1室1厅,72.95,南,精装,中楼层(共11层),板楼,385.0,52776,43, 3个月以前发布,https://bj.lianjia.com/ershoufang/101126073196.html
新华街一里,3室1厅,68.72,南 北,简装,低楼层(共6层),板楼,299.0,43510,87, 7个月以前发布,https://bj.lianjia.com/ershoufang/101122199380.html
太阳公元北区,4室2厅,219.87,南 北,精装,中楼层(共22层),2011年,3120.0,141903,19, 3个月以前发布,https://bj.lianjia.com/ershoufang/101124389995.html
融泽嘉园西二路2号院,2室1厅,87.13,南 北,精装,34层,2016年,485.0,55664,9, 24天以前发布,https://bj.lianjia.com/ershoufang/101123914242.html
金汉绿港三区,3室2厅,95.12,南 北,简装,高楼层(共18层),2009年,318.0,33432,35, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125683470.html
农光里,1室1厅,48.05,南,简装,高楼层(共24层),1996年,269.0,55984,23, 11个月以前发布,https://bj.lianjia.com/ershoufang/101121819088.html
